date,file_name,product,file_size_mb,status
2015-01-01,MOD17A2HGF.A2015001.h17v05.061.2021343133437.hdf,MOD17A2HGF,5.32,Downloaded
2015-01-09,MOD17A2HGF.A2015009.h17v05.061.2021343193052.hdf,MOD17A2HGF,5.26,Downloaded
2015-01-17,MOD17A2HGF.A2015017.h17v05.061.2021344000225.hdf,MOD17A2HGF,5.16,Downloaded
2015-01-25,MOD17A2HGF.A2015025.h17v05.061.2021344041612.hdf,MOD17A2HGF,5.54,Downloaded
2015-02-02,MOD17A2HGF.A2015033.h17v05.061.2021344090503.hdf,MOD17A2HGF,5.34,Downloaded
2015-02-10,MOD17A2HGF.A2015041.h17v05.061.2021344135222.hdf,MOD17A2HGF,5.77,Downloaded
2015-02-18,MOD17A2HGF.A2015049.h17v05.061.2021344174957.hdf,MOD17A2HGF,5.77,Downloaded
2015-02-26,MOD17A2HGF.A2015057.h17v05.061.2021344205656.hdf,MOD17A2HGF,6.0,Downloaded
2015-03-06,MOD17A2HGF.A2015065.h17v05.061.2021344231639.hdf,MOD17A2HGF,5.9,Downloaded
2015-03-14,MOD17A2HGF.A2015073.h17v05.061.2021345002600.hdf,MOD17A2HGF,5.98,Downloaded
2015-03-22,MOD17A2HGF.A2015081.h17v05.061.2021345013051.hdf,MOD17A2HGF,6.09,Downloaded
2015-03-30,MOD17A2HGF.A2015089.h17v05.061.2021345035338.hdf,MOD17A2HGF,5.99,Downloaded
2015-04-07,MOD17A2HGF.A2015097.h17v05.061.2021345083934.hdf,MOD17A2HGF,6.05,Downloaded
2015-04-15,MOD17A2HGF.A2015105.h17v05.061.2021345124300.hdf,MOD17A2HGF,6.2,Downloaded
2015-04-23,MOD17A2HGF.A2015113.h17v05.061.2021345163809.hdf,MOD17A2HGF,5.95,Downloaded
2015-05-01,MOD17A2HGF.A2015121.h17v05.061.2021345205153.hdf,MOD17A2HGF,5.78,Downloaded
2015-05-09,MOD17A2HGF.A2015129.h17v05.061.2021346002057.hdf,MOD17A2HGF,5.46,Downloaded
2015-05-17,MOD17A2HGF.A2015137.h17v05.061.2021346013526.hdf,MOD17A2HGF,5.75,Downloaded
2015-05-25,MOD17A2HGF.A2015145.h17v05.061.2021346024852.hdf,MOD17A2HGF,5.7,Downloaded
2015-06-02,MOD17A2HGF.A2015153.h17v05.061.2021346064437.hdf,MOD17A2HGF,5.45,Downloaded
2015-06-10,MOD17A2HGF.A2015161.h17v05.061.2021346130537.hdf,MOD17A2HGF,5.8,Downloaded
2015-06-18,MOD17A2HGF.A2015169.h17v05.061.2021346175518.hdf,MOD17A2HGF,5.48,Downloaded
2015-06-26,MOD17A2HGF.A2015177.h17v05.061.2021346230149.hdf,MOD17A2HGF,5.09,Downloaded
2015-07-04,MOD17A2HGF.A2015185.h17v05.061.2021347032538.hdf,MOD17A2HGF,5.02,Downloaded
2015-07-12,MOD17A2HGF.A2015193.h17v05.061.2021347090834.hdf,MOD17A2HGF,5.03,Downloaded
2015-07-20,MOD17A2HGF.A2015201.h17v05.061.2021347180145.hdf,MOD17A2HGF,5.07,Downloaded
2015-07-28,MOD17A2HGF.A2015209.h17v05.061.2021347223053.hdf,MOD17A2HGF,5.08,Downloaded
2015-08-05,MOD17A2HGF.A2015217.h17v05.061.2021348014636.hdf,MOD17A2HGF,4.85,Downloaded
2015-08-13,MOD17A2HGF.A2015225.h17v05.061.2021348061059.hdf,MOD17A2HGF,5.36,Downloaded
2015-08-21,MOD17A2HGF.A2015233.h17v05.061.2021348111747.hdf,MOD17A2HGF,5.28,Downloaded
2015-08-29,MOD17A2HGF.A2015241.h17v05.061.2021348162515.hdf,MOD17A2HGF,5.22,Downloaded
2015-09-06,MOD17A2HGF.A2015249.h17v05.061.2021348204609.hdf,MOD17A2HGF,5.28,Downloaded
2015-09-14,MOD17A2HGF.A2015257.h17v05.061.2021349003131.hdf,MOD17A2HGF,5.34,Downloaded
2015-09-22,MOD17A2HGF.A2015265.h17v05.061.2021349043732.hdf,MOD17A2HGF,5.21,Downloaded
2015-09-30,MOD17A2HGF.A2015273.h17v05.061.2021349085651.hdf,MOD17A2HGF,5.16,Downloaded
2015-10-08,MOD17A2HGF.A2015281.h17v05.061.2021349191127.hdf,MOD17A2HGF,5.45,Downloaded
2015-10-16,MOD17A2HGF.A2015289.h17v05.061.2021350002023.hdf,MOD17A2HGF,5.35,Downloaded
2015-10-24,MOD17A2HGF.A2015297.h17v05.061.2021350053934.hdf,MOD17A2HGF,5.48,Downloaded
2015-11-01,MOD17A2HGF.A2015305.h17v05.061.2021350103426.hdf,MOD17A2HGF,5.3,Downloaded
2015-11-09,MOD17A2HGF.A2015313.h17v05.061.2021350142438.hdf,MOD17A2HGF,5.31,Downloaded
2015-11-17,MOD17A2HGF.A2015321.h17v05.061.2021350193431.hdf,MOD17A2HGF,5.23,Downloaded
2015-11-25,MOD17A2HGF.A2015329.h17v05.061.2021351003955.hdf,MOD17A2HGF,5.15,Downloaded
2015-12-03,MOD17A2HGF.A2015337.h17v05.061.2021351070859.hdf,MOD17A2HGF,5.07,Downloaded
2015-12-11,MOD17A2HGF.A2015345.h17v05.061.2021351124019.hdf,MOD17A2HGF,5.05,Downloaded
2015-12-19,MOD17A2HGF.A2015353.h17v05.061.2021351170426.hdf,MOD17A2HGF,5.09,Downloaded
2015-12-27,MOD17A2HGF.A2015361.h17v05.061.2021351193504.hdf,MOD17A2HGF,4.54,Downloaded
2016-01-01,MOD17A2HGF.A2016001.h17v05.061.2022001154417.hdf,MOD17A2HGF,5.05,Downloaded
2016-01-09,MOD17A2HGF.A2016009.h17v05.061.2022001162418.hdf,MOD17A2HGF,5.26,Downloaded
2016-01-17,MOD17A2HGF.A2016017.h17v05.061.2022001170324.hdf,MOD17A2HGF,5.28,Downloaded
2016-01-25,MOD17A2HGF.A2016025.h17v05.061.2022001174115.hdf,MOD17A2HGF,5.54,Downloaded
2016-02-02,MOD17A2HGF.A2016033.h17v05.061.2022001183052.hdf,MOD17A2HGF,5.49,Downloaded
2016-02-10,MOD17A2HGF.A2016041.h17v05.061.2022001191256.hdf,MOD17A2HGF,5.55,Downloaded
2016-02-18,MOD17A2HGF.A2016049.h17v05.061.2022001195546.hdf,MOD17A2HGF,5.44,Downloaded
2016-02-26,MOD17A2HGF.A2016057.h17v05.061.2022001203621.hdf,MOD17A2HGF,5.75,Downloaded
2016-03-05,MOD17A2HGF.A2016065.h17v05.061.2022001211713.hdf,MOD17A2HGF,5.8,Downloaded
2016-03-13,MOD17A2HGF.A2016073.h17v05.061.2022001215727.hdf,MOD17A2HGF,5.95,Downloaded
2016-03-21,MOD17A2HGF.A2016081.h17v05.061.2022001223941.hdf,MOD17A2HGF,5.98,Downloaded
2016-03-29,MOD17A2HGF.A2016089.h17v05.061.2022001232215.hdf,MOD17A2HGF,5.97,Downloaded
2016-04-06,MOD17A2HGF.A2016097.h17v05.061.2022002000455.hdf,MOD17A2HGF,5.95,Downloaded
2016-04-14,MOD17A2HGF.A2016105.h17v05.061.2022002004738.hdf,MOD17A2HGF,6.21,Downloaded
2016-04-22,MOD17A2HGF.A2016113.h17v05.061.2022002013345.hdf,MOD17A2HGF,5.95,Downloaded
