date,file_name,product,version,file_size_mb,status
2015-01-01,3B-DAY.MS.MRG.3IMERG.20150101-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,28.04,Downloaded_and_Subsetted
2015-01-02,3B-DAY.MS.MRG.3IMERG.20150102-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,28.88,Downloaded_and_Subsetted
2015-01-03,3B-DAY.MS.MRG.3IMERG.20150103-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,28.75,Downloaded_and_Subsetted
2015-01-04,3B-DAY.MS.MRG.3IMERG.20150104-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.93,Downloaded_and_Subsetted
2015-01-05,3B-DAY.MS.MRG.3IMERG.20150105-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.81,Downloaded_and_Subsetted
2015-01-06,3B-DAY.MS.MRG.3IMERG.20150106-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.4,Downloaded_and_Subsetted
2015-01-07,3B-DAY.MS.MRG.3IMERG.20150107-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.98,Downloaded_and_Subsetted
2015-01-08,3B-DAY.MS.MRG.3IMERG.20150108-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,28.33,Downloaded_and_Subsetted
2015-01-09,3B-DAY.MS.MRG.3IMERG.20150109-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,28.48,Downloaded_and_Subsetted
2015-01-10,3B-DAY.MS.MRG.3IMERG.20150110-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,28.06,Downloaded_and_Subsetted
2015-01-11,3B-DAY.MS.MRG.3IMERG.20150111-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.22,Downloaded_and_Subsetted
2015-01-12,3B-DAY.MS.MRG.3IMERG.20150112-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.08,Downloaded_and_Subsetted
2015-01-13,3B-DAY.MS.MRG.3IMERG.20150113-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,26.72,Downloaded_and_Subsetted
2015-01-14,3B-DAY.MS.MRG.3IMERG.20150114-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,26.34,Downloaded_and_Subsetted
2015-01-15,3B-DAY.MS.MRG.3IMERG.20150115-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,26.01,Downloaded_and_Subsetted
2015-01-16,3B-DAY.MS.MRG.3IMERG.20150116-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,26.19,Downloaded_and_Subsetted
2015-01-17,3B-DAY.MS.MRG.3IMERG.20150117-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,26.35,Downloaded_and_Subsetted
2015-01-18,3B-DAY.MS.MRG.3IMERG.20150118-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.31,Downloaded_and_Subsetted
2015-01-19,3B-DAY.MS.MRG.3IMERG.20150119-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.11,Downloaded_and_Subsetted
2015-01-20,3B-DAY.MS.MRG.3IMERG.20150120-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,26.96,Downloaded_and_Subsetted
2015-01-21,3B-DAY.MS.MRG.3IMERG.20150121-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.1,Downloaded_and_Subsetted
2015-01-22,3B-DAY.MS.MRG.3IMERG.20150122-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.17,Downloaded_and_Subsetted
2015-01-23,3B-DAY.MS.MRG.3IMERG.20150123-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.2,Downloaded_and_Subsetted
2015-01-24,3B-DAY.MS.MRG.3IMERG.20150124-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.25,Downloaded_and_Subsetted
2015-01-25,3B-DAY.MS.MRG.3IMERG.20150125-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.76,Downloaded_and_Subsetted
2015-01-26,3B-DAY.MS.MRG.3IMERG.20150126-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.02,Downloaded_and_Subsetted
2015-01-27,3B-DAY.MS.MRG.3IMERG.20150127-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.31,Downloaded_and_Subsetted
2015-01-28,3B-DAY.MS.MRG.3IMERG.20150128-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.81,Downloaded_and_Subsetted
2015-01-29,3B-DAY.MS.MRG.3IMERG.20150129-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.41,Downloaded_and_Subsetted
2015-01-30,3B-DAY.MS.MRG.3IMERG.20150130-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,26.77,Downloaded_and_Subsetted
2015-01-31,3B-DAY.MS.MRG.3IMERG.20150131-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.06,Downloaded_and_Subsetted
2015-02-01,3B-DAY.MS.MRG.3IMERG.20150201-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,26.98,Downloaded_and_Subsetted
2015-02-02,3B-DAY.MS.MRG.3IMERG.20150202-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,26.94,Downloaded_and_Subsetted
2015-02-03,3B-DAY.MS.MRG.3IMERG.20150203-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,26.72,Downloaded_and_Subsetted
2015-02-04,3B-DAY.MS.MRG.3IMERG.20150204-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.14,Downloaded_and_Subsetted
2015-02-05,3B-DAY.MS.MRG.3IMERG.20150205-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,28.81,Downloaded_and_Subsetted
2015-02-06,3B-DAY.MS.MRG.3IMERG.20150206-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.54,Downloaded_and_Subsetted
2015-02-07,3B-DAY.MS.MRG.3IMERG.20150207-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,26.97,Downloaded_and_Subsetted
2015-02-08,3B-DAY.MS.MRG.3IMERG.20150208-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.6,Downloaded_and_Subsetted
2015-02-09,3B-DAY.MS.MRG.3IMERG.20150209-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,28.4,Downloaded_and_Subsetted
2015-02-10,3B-DAY.MS.MRG.3IMERG.20150210-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,28.13,Downloaded_and_Subsetted
2015-02-11,3B-DAY.MS.MRG.3IMERG.20150211-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.04,Downloaded_and_Subsetted
2015-02-12,3B-DAY.MS.MRG.3IMERG.20150212-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.06,Downloaded_and_Subsetted
2015-02-13,3B-DAY.MS.MRG.3IMERG.20150213-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.35,Downloaded_and_Subsetted
2015-02-14,3B-DAY.MS.MRG.3IMERG.20150214-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.73,Downloaded_and_Subsetted
2015-02-15,3B-DAY.MS.MRG.3IMERG.20150215-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,28.11,Downloaded_and_Subsetted
2015-02-16,3B-DAY.MS.MRG.3IMERG.20150216-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,28.17,Downloaded_and_Subsetted
2015-02-17,3B-DAY.MS.MRG.3IMERG.20150217-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.69,Downloaded_and_Subsetted
2015-02-18,3B-DAY.MS.MRG.3IMERG.20150218-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,28.37,Downloaded_and_Subsetted
2015-02-19,3B-DAY.MS.MRG.3IMERG.20150219-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,28.58,Downloaded_and_Subsetted
2015-02-20,3B-DAY.MS.MRG.3IMERG.20150220-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,28.74,Downloaded_and_Subsetted
2015-02-21,3B-DAY.MS.MRG.3IMERG.20150221-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,29.22,Downloaded_and_Subsetted
2015-02-22,3B-DAY.MS.MRG.3IMERG.20150222-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,29.53,Downloaded_and_Subsetted
2015-02-23,3B-DAY.MS.MRG.3IMERG.20150223-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,28.75,Downloaded_and_Subsetted
2015-02-24,3B-DAY.MS.MRG.3IMERG.20150224-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,28.17,Downloaded_and_Subsetted
2015-02-25,3B-DAY.MS.MRG.3IMERG.20150225-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.81,Downloaded_and_Subsetted
2015-02-26,3B-DAY.MS.MRG.3IMERG.20150226-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.42,Downloaded_and_Subsetted
2015-02-27,3B-DAY.MS.MRG.3IMERG.20150227-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,27.96,Downloaded_and_Subsetted
2015-02-28,3B-DAY.MS.MRG.3IMERG.20150228-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,28.35,Downloaded_and_Subsetted
2015-03-01,3B-DAY.MS.MRG.3IMERG.20150301-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,28.81,Downloaded_and_Subsetted
2015-03-02,3B-DAY.MS.MRG.3IMERG.20150302-S000000-E235959.V07B.nc4,GPM_3IMERGDF,07,28.73,Downloaded_and_Subsetted
