date,file_name,product,file_size_mb,status
2015-01-01,MOD16A2GF.A2015001.h17v05.061.2021343194119.hdf,MOD16A2GF,11.88,Downloaded
2015-01-09,MOD16A2GF.A2015009.h17v05.061.2021344002002.hdf,MOD16A2GF,11.94,Downloaded
2015-01-17,MOD16A2GF.A2015017.h17v05.061.2021344052850.hdf,MOD16A2GF,11.61,Downloaded
2015-01-25,MOD16A2GF.A2015025.h17v05.061.2021344110325.hdf,MOD16A2GF,12.0,Downloaded
2015-02-02,MOD16A2GF.A2015033.h17v05.061.2021344145059.hdf,MOD16A2GF,11.89,Downloaded
2015-02-10,MOD16A2GF.A2015041.h17v05.061.2021344175652.hdf,MOD16A2GF,12.15,Downloaded
2015-02-18,MOD16A2GF.A2015049.h17v05.061.2021344195011.hdf,MOD16A2GF,12.21,Downloaded
2015-02-26,MOD16A2GF.A2015057.h17v05.061.2021344221148.hdf,MOD16A2GF,12.84,Downloaded
2015-03-06,MOD16A2GF.A2015065.h17v05.061.2021345024339.hdf,MOD16A2GF,13.23,Downloaded
2015-03-14,MOD16A2GF.A2015073.h17v05.061.2021345071346.hdf,MOD16A2GF,12.59,Downloaded
2015-03-22,MOD16A2GF.A2015081.h17v05.061.2021345125324.hdf,MOD16A2GF,12.73,Downloaded
2015-03-30,MOD16A2GF.A2015089.h17v05.061.2021345171626.hdf,MOD16A2GF,13.41,Downloaded
2015-04-07,MOD16A2GF.A2015097.h17v05.061.2021345195702.hdf,MOD16A2GF,13.06,Downloaded
2015-04-15,MOD16A2GF.A2015105.h17v05.061.2021345212822.hdf,MOD16A2GF,13.22,Downloaded
2015-04-23,MOD16A2GF.A2015113.h17v05.061.2021346014246.hdf,MOD16A2GF,13.14,Downloaded
2015-05-01,MOD16A2GF.A2015121.h17v05.061.2021346083815.hdf,MOD16A2GF,13.32,Downloaded
2015-05-09,MOD16A2GF.A2015129.h17v05.061.2021346134922.hdf,MOD16A2GF,12.95,Downloaded
2015-05-17,MOD16A2GF.A2015137.h17v05.061.2021346185036.hdf,MOD16A2GF,13.07,Downloaded
2015-05-25,MOD16A2GF.A2015145.h17v05.061.2021346235049.hdf,MOD16A2GF,13.18,Downloaded
2015-06-02,MOD16A2GF.A2015153.h17v05.061.2021347054016.hdf,MOD16A2GF,12.94,Downloaded
2015-06-10,MOD16A2GF.A2015161.h17v05.061.2021347145836.hdf,MOD16A2GF,12.97,Downloaded
2015-06-18,MOD16A2GF.A2015169.h17v05.061.2021347193323.hdf,MOD16A2GF,13.03,Downloaded
2015-06-26,MOD16A2GF.A2015177.h17v05.061.2021347235753.hdf,MOD16A2GF,12.63,Downloaded
2015-07-04,MOD16A2GF.A2015185.h17v05.061.2021348053108.hdf,MOD16A2GF,12.48,Downloaded
2015-07-12,MOD16A2GF.A2015193.h17v05.061.2021348104814.hdf,MOD16A2GF,12.48,Downloaded
2015-07-20,MOD16A2GF.A2015201.h17v05.061.2021348154259.hdf,MOD16A2GF,12.48,Downloaded
2015-07-28,MOD16A2GF.A2015209.h17v05.061.2021348194620.hdf,MOD16A2GF,12.65,Downloaded
2015-08-05,MOD16A2GF.A2015217.h17v05.061.2021349004812.hdf,MOD16A2GF,12.34,Downloaded
2015-08-13,MOD16A2GF.A2015225.h17v05.061.2021349061030.hdf,MOD16A2GF,12.85,Downloaded
2015-08-21,MOD16A2GF.A2015233.h17v05.061.2021349164445.hdf,MOD16A2GF,12.73,Downloaded
2015-08-29,MOD16A2GF.A2015241.h17v05.061.2021349220450.hdf,MOD16A2GF,12.65,Downloaded
2015-09-06,MOD16A2GF.A2015249.h17v05.061.2021350031516.hdf,MOD16A2GF,12.76,Downloaded
2015-09-14,MOD16A2GF.A2015257.h17v05.061.2021350092300.hdf,MOD16A2GF,12.3,Downloaded
2015-09-22,MOD16A2GF.A2015265.h17v05.061.2021350140451.hdf,MOD16A2GF,12.31,Downloaded
2015-09-30,MOD16A2GF.A2015273.h17v05.061.2021350191935.hdf,MOD16A2GF,12.18,Downloaded
2015-10-08,MOD16A2GF.A2015281.h17v05.061.2021351015416.hdf,MOD16A2GF,12.3,Downloaded
2015-10-16,MOD16A2GF.A2015289.h17v05.061.2021351074855.hdf,MOD16A2GF,12.03,Downloaded
2015-10-24,MOD16A2GF.A2015297.h17v05.061.2021351124611.hdf,MOD16A2GF,12.11,Downloaded
2015-11-01,MOD16A2GF.A2015305.h17v05.061.2021351162210.hdf,MOD16A2GF,11.65,Downloaded
2015-11-09,MOD16A2GF.A2015313.h17v05.061.2021351175110.hdf,MOD16A2GF,12.09,Downloaded
2015-11-17,MOD16A2GF.A2015321.h17v05.061.2021351193731.hdf,MOD16A2GF,11.56,Downloaded
