date,file_name,product,file_size_mb,status
20150101,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150101000000-fv08.1.nc,ESA_CCI_COMBINED,1.35,Downloaded
20150102,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150102000000-fv08.1.nc,ESA_CCI_COMBINED,1.35,Downloaded
20150103,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150103000000-fv08.1.nc,ESA_CCI_COMBINED,1.36,Downloaded
20150104,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150104000000-fv08.1.nc,ESA_CCI_COMBINED,1.38,Downloaded
20150105,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150105000000-fv08.1.nc,ESA_CCI_COMBINED,1.38,Downloaded
20150106,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150106000000-fv08.1.nc,ESA_CCI_COMBINED,1.36,Downloaded
20150107,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150107000000-fv08.1.nc,ESA_CCI_COMBINED,1.35,Downloaded
20150108,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150108000000-fv08.1.nc,ESA_CCI_COMBINED,1.34,Downloaded
20150109,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150109000000-fv08.1.nc,ESA_CCI_COMBINED,1.35,Downloaded
20150110,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150110000000-fv08.1.nc,ESA_CCI_COMBINED,1.35,Downloaded
20150111,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150111000000-fv08.1.nc,ESA_CCI_COMBINED,1.36,Downloaded
20150112,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150112000000-fv08.1.nc,ESA_CCI_COMBINED,1.37,Downloaded
20150113,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150113000000-fv08.1.nc,ESA_CCI_COMBINED,1.39,Downloaded
20150114,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150114000000-fv08.1.nc,ESA_CCI_COMBINED,1.36,Downloaded
20150115,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150115000000-fv08.1.nc,ESA_CCI_COMBINED,1.37,Downloaded
20150116,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150116000000-fv08.1.nc,ESA_CCI_COMBINED,1.37,Downloaded
20150117,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150117000000-fv08.1.nc,ESA_CCI_COMBINED,1.39,Downloaded
20150118,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150118000000-fv08.1.nc,ESA_CCI_COMBINED,1.4,Downloaded
20150119,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150119000000-fv08.1.nc,ESA_CCI_COMBINED,1.4,Downloaded
20150120,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150120000000-fv08.1.nc,ESA_CCI_COMBINED,1.4,Downloaded
20150121,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150121000000-fv08.1.nc,ESA_CCI_COMBINED,1.39,Downloaded
20150122,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150122000000-fv08.1.nc,ESA_CCI_COMBINED,1.39,Downloaded
20150123,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150123000000-fv08.1.nc,ESA_CCI_COMBINED,1.39,Downloaded
20150124,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150124000000-fv08.1.nc,ESA_CCI_COMBINED,1.38,Downloaded
20150125,ESACCI-SOILMOISTURE-L3S-SSMV-COMBINED-20150125000000-fv08.1.nc,ESA_CCI_COMBINED,1.39,Downloaded
