Gathering files for YEAR 2015...
Total files found for 2015: 18568
[201501] ✅ COMPLETE | MERRA-2: 93/93 | IMERG: 1488/1488
[201502] ✅ COMPLETE | MERRA-2: 84/84 | IMERG: 1344/1344
[201503] ✅ COMPLETE | MERRA-2: 93/93 | IMERG: 1488/1488
[201504] ✅ COMPLETE | MERRA-2: 90/90 | IMERG: 1440/1440
[201505] ✅ COMPLETE | MERRA-2: 93/93 | IMERG: 1488/1488
[201506] ✅ COMPLETE | MERRA-2: 90/90 | IMERG: 1440/1440
[201507] ✅ COMPLETE | MERRA-2: 93/93 | IMERG: 1488/1488
[201508] ✅ COMPLETE | MERRA-2: 93/93 | IMERG: 1488/1488
[201509] ✅ COMPLETE | MERRA-2: 90/90 | IMERG: 1440/1440
[201510] ✅ COMPLETE | MERRA-2: 93/93 | IMERG: 1488/1488
[201511] ✅ COMPLETE | MERRA-2: 90/90 | IMERG: 1440/1440
[201512] ✅ COMPLETE | MERRA-2: 93/93 | IMERG: 1441/1488

SUCCESS: Year 2015 is fully downloaded and verified!
