path,type,category,required_by,dependency_evidence,imported_by,referenced_from_yaml,runtime_loaded,keep_reason
README.md,file,KEEP_ACTIVE_SHARED,Baseline,Static Rules,runner.py,yes,yes,Requested by user rules
cleanup_remove_candidates.csv,file,KEEP_ACTIVE_SHARED,Baseline,Static Rules,runner.py,yes,yes,Requested by user rules
cleanup_commands_preview.sh,file,KEEP_ACTIVE_SHARED,Baseline,Static Rules,runner.py,yes,yes,Requested by user rules
cleanup_baseline_output_inventory.csv,file,KEEP_ACTIVE_SHARED,Baseline,Static Rules,runner.py,yes,yes,Requested by user rules
cleanup_keep_inventory.csv,file,KEEP_ACTIVE_SHARED,Baseline,Static Rules,runner.py,yes,yes,Requested by user rules
scripts/run_postproc.py,file,KEEP_ACTIVE_SHARED,Baseline,Static Rules,runner.py,yes,yes,Requested by user rules
configs/global.yaml,file,KEEP_ACTIVE_SHARED,Baseline,Static Rules,runner.py,yes,yes,Requested by user rules
configs/experiments.yaml,file,KEEP_ACTIVE_SHARED,Baseline,Static Rules,runner.py,yes,yes,Requested by user rules
configs/observations/fluxsat_gpp.yaml,file,KEEP_ACTIVE_INDEPENDENT_OB_VALIDATION,Independent Validation,Static Rules,runner.py,yes,yes,Requested by user rules
configs/observations/esa_cci_soil_moisture.yaml,file,KEEP_ACTIVE_INDEPENDENT_OB_VALIDATION,Independent Validation,Static Rules,runner.py,yes,yes,Requested by user rules
configs/observations/grace_twsa.yaml,file,KEEP_ACTIVE_INDEPENDENT_OB_VALIDATION,Independent Validation,Static Rules,runner.py,yes,yes,Requested by user rules
configs/observations/gleam_evapotranspiration.yaml,file,KEEP_ACTIVE_INDEPENDENT_OB_VALIDATION,Independent Validation,Static Rules,runner.py,yes,yes,Requested by user rules
configs/observations/wapor_v2_aeti.yaml,file,KEEP_ACTIVE_INDEPENDENT_OB_VALIDATION,Independent Validation,Static Rules,runner.py,yes,yes,Requested by user rules
configs/variables/evapotranspiration.yaml,file,KEEP_ACTIVE_SHARED,Baseline,Static Rules,runner.py,yes,yes,Requested by user rules
configs/variables/streamflow.yaml,file,KEEP_ACTIVE_SHARED,Baseline,Static Rules,runner.py,yes,yes,Requested by user rules
configs/variables/spread.yaml,file,KEEP_ACTIVE_SHARED,Baseline,Static Rules,runner.py,yes,yes,Requested by user rules
configs/variables/innovations.yaml,file,KEEP_ACTIVE_SHARED,Baseline,Static Rules,runner.py,yes,yes,Requested by user rules
configs/variables/latent_heat.yaml,file,KEEP_ACTIVE_SHARED,Baseline,Static Rules,runner.py,yes,yes,Requested by user rules
