experiment,file_pattern,variable_name,dimensions,units,long_name,first_date,last_date,min_value,max_value,nan_fraction
OPL_noirr_2016,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/OPL_noirr_2016/output/2016-*/SURFACEMODEL/2016*/LIS_HIST*.nc,Swnet_tavg,"('north_south', 'east_west')",W m-2,net downward shortwave radiation,LIS_HIST_201601020000.d01.nc,LIS_HIST_201612310000.d01.nc,Compute omitted (too slow),Compute omitted (too slow),Compute omitted
OPL_noirr_2016,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/OPL_noirr_2016/output/2016-*/SURFACEMODEL/2016*/LIS_HIST*.nc,Lwnet_tavg,"('north_south', 'east_west')",W m-2,net downward longwave radiation,LIS_HIST_201601020000.d01.nc,LIS_HIST_201612310000.d01.nc,Compute omitted (too slow),Compute omitted (too slow),Compute omitted
OPL_noirr_2016,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/OPL_noirr_2016/output/2016-*/SURFACEMODEL/2016*/LIS_HIST*.nc,Qle_tavg,"('north_south', 'east_west')",W m-2,latent heat flux,LIS_HIST_201601020000.d01.nc,LIS_HIST_201612310000.d01.nc,Compute omitted (too slow),Compute omitted (too slow),Compute omitted
OPL_noirr_2016,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/OPL_noirr_2016/output/2016-*/SURFACEMODEL/2016*/LIS_HIST*.nc,Qh_tavg,"('north_south', 'east_west')",W m-2,sensible heat flux,LIS_HIST_201601020000.d01.nc,LIS_HIST_201612310000.d01.nc,Compute omitted (too slow),Compute omitted (too slow),Compute omitted
OPL_noirr_2016,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/OPL_noirr_2016/output/2016-*/SURFACEMODEL/2016*/LIS_HIST*.nc,Qg_tavg,"('north_south', 'east_west')",W m-2,soil heat flux,LIS_HIST_201601020000.d01.nc,LIS_HIST_201612310000.d01.nc,Compute omitted (too slow),Compute omitted (too slow),Compute omitted
OPL_noirr_2016,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/OPL_noirr_2016/output/2016-*/SURFACEMODEL/2016*/LIS_HIST*.nc,Snowf_tavg,"('north_south', 'east_west')",kg m-2 s-1,snowfall rate,LIS_HIST_201601020000.d01.nc,LIS_HIST_201612310000.d01.nc,Compute omitted (too slow),Compute omitted (too slow),Compute omitted
OPL_noirr_2016,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/OPL_noirr_2016/output/2016-*/SURFACEMODEL/2016*/LIS_HIST*.nc,Rainf_tavg,"('north_south', 'east_west')",kg m-2 s-1,precipitation rate,LIS_HIST_201601020000.d01.nc,LIS_HIST_201612310000.d01.nc,Compute omitted (too slow),Compute omitted (too slow),Compute omitted
OPL_noirr_2016,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/OPL_noirr_2016/output/2016-*/SURFACEMODEL/2016*/LIS_HIST*.nc,Evap_tavg,"('north_south', 'east_west')",kg m-2 s-1,total evapotranspiration,LIS_HIST_201601020000.d01.nc,LIS_HIST_201612310000.d01.nc,Compute omitted (too slow),Compute omitted (too slow),Compute omitted
OPL_noirr_2016,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/OPL_noirr_2016/output/2016-*/SURFACEMODEL/2016*/LIS_HIST*.nc,Qs_tavg,"('north_south', 'east_west')",kg m-2 s-1,surface runoff,LIS_HIST_201601020000.d01.nc,LIS_HIST_201612310000.d01.nc,Compute omitted (too slow),Compute omitted (too slow),Compute omitted
OPL_noirr_2016,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/OPL_noirr_2016/output/2016-*/SURFACEMODEL/2016*/LIS_HIST*.nc,Qsb_tavg,"('north_south', 'east_west')",kg m-2 s-1,subsurface runoff amount,LIS_HIST_201601020000.d01.nc,LIS_HIST_201612310000.d01.nc,Compute omitted (too slow),Compute omitted (too slow),Compute omitted
OPL_noirr_2016,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/OPL_noirr_2016/output/2016-*/SURFACEMODEL/2016*/LIS_HIST*.nc,Qsm_tavg,"('north_south', 'east_west')",kg m-2 s-1,snowmelt,LIS_HIST_201601020000.d01.nc,LIS_HIST_201612310000.d01.nc,Compute omitted (too slow),Compute omitted (too slow),Compute omitted
OPL_noirr_2016,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/OPL_noirr_2016/output/2016-*/SURFACEMODEL/2016*/LIS_HIST*.nc,VegT_tavg,"('north_south', 'east_west')",K,canopy temperature,LIS_HIST_201601020000.d01.nc,LIS_HIST_201612310000.d01.nc,Compute omitted (too slow),Compute omitted (too slow),Compute omitted
OPL_noirr_2016,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/OPL_noirr_2016/output/2016-*/SURFACEMODEL/2016*/LIS_HIST*.nc,BareSoilT_tavg,"('north_south', 'east_west')",K,bare soil temperature,LIS_HIST_201601020000.d01.nc,LIS_HIST_201612310000.d01.nc,Compute omitted (too slow),Compute omitted (too slow),Compute omitted
OPL_noirr_2016,/home/mohammad.elaabaribao/lustre/empowermed-ahl6xm8o7mg/users/mohammad.elaabaribao/NoahMP_Morocco/experiments/NorthMor/matrix_2016/OPL_noirr_2016/output/2016-*/SURFACEMODEL/2016*/LIS_HIST*.nc,AvgSurfT_tavg,"('north_south', 'east_west')",K,surface temperature,LIS_HIST_201601020000.d01.nc,LIS_HIST_201612310000.d01.nc,Compute omitted (too slow),Compute omitted (too slow),Compute omitted
