original_pdf_page,source_file,detected_experiment,diagnostic_type,new_title,caption,action,warning
4,surface_soil_moisture_annual_mean_2016.png,OPL_noCDF_CDF,annual_mean,"Annual mean surface soil moisture — NorthMor, 2016",Annual mean spatial distribution of surface soil moisture.,kept,
5,surface_soil_moisture_differences_2016.png,DA_Differences,difference,Surface soil moisture response to assimilation — 2016,Impact of SMAP assimilation on surface soil moisture.,kept,
6,surface_soil_moisture_domain_mean_timeseries_2016.png,OPL_noCDF_CDF,timeseries,Domain-average surface soil moisture time series — 2016,Daily domain-averaged timeseries of surface soil moisture.,kept,
8,rootzone_soil_moisture_annual_mean_2016.png,OPL_noCDF_CDF,annual_mean,"Annual mean root-zone soil moisture — NorthMor, 2016",Annual mean spatial distribution of root-zone soil moisture.,kept,
9,rootzone_soil_moisture_differences_2016.png,DA_Differences,difference,Root-zone soil moisture response to assimilation — 2016,Impact of SMAP assimilation on root-zone soil moisture.,kept,
10,rootzone_soil_moisture_domain_mean_timeseries_2016.png,OPL_noCDF_CDF,timeseries,Domain-average root-zone soil moisture time series — 2016,Daily domain-averaged timeseries of root-zone soil moisture.,kept,
12,evapotranspiration_annual_mean_2016.png,OPL_noCDF_CDF,annual_mean,"Annual mean evapotranspiration — NorthMor, 2016",Annual mean spatial distribution of evapotranspiration.,kept,
13,evapotranspiration_differences_2016.png,DA_Differences,difference,Evapotranspiration response to assimilation — 2016,Impact of SMAP assimilation on evapotranspiration.,kept,
14,evapotranspiration_domain_mean_timeseries_2016.png,OPL_noCDF_CDF,timeseries,Domain-average evapotranspiration time series — 2016,Daily domain-averaged timeseries of evapotranspiration.,kept,
16,groundwater_storage_annual_mean_2016.png,OPL_noCDF_CDF,annual_mean,"Annual mean groundwater storage — NorthMor, 2016",Annual mean spatial distribution of groundwater storage.,kept,
17,groundwater_storage_differences_2016.png,DA_Differences,difference,Groundwater storage response to assimilation — 2016,Impact of SMAP assimilation on groundwater storage.,kept,
18,groundwater_storage_domain_mean_timeseries_2016.png,OPL_noCDF_CDF,timeseries,Domain-average groundwater storage time series — 2016,Daily domain-averaged timeseries of groundwater storage.,kept,
19,water_table_depth_annual_mean_2016.png,OPL_noCDF_CDF,annual_mean,"Annual mean water table depth — NorthMor, 2016",Annual mean spatial distribution of water table depth.,kept,
20,water_table_depth_differences_2016.png,DA_Differences,difference,Water table depth response to assimilation — 2016,Impact of SMAP assimilation on water table depth.,kept,
21,water_table_depth_domain_mean_timeseries_2016.png,OPL_noCDF_CDF,timeseries,Domain-average water table depth time series — 2016,Daily domain-averaged timeseries of water table depth.,kept,
23,total_runoff_annual_mean_2016.png,OPL_noCDF_CDF,annual_mean,"Annual mean total runoff — NorthMor, 2016",Annual mean spatial distribution of total runoff.,kept,
24,total_runoff_differences_2016.png,DA_Differences,difference,Total runoff response to assimilation — 2016,Impact of SMAP assimilation on total runoff.,kept,
25,total_runoff_domain_mean_timeseries_2016.png,OPL_noCDF_CDF,timeseries,Domain-average total runoff time series — 2016,Daily domain-averaged timeseries of total runoff.,kept,
26,surface_runoff_annual_mean_2016.png,OPL_noCDF_CDF,annual_mean,"Annual mean surface runoff — NorthMor, 2016",Annual mean spatial distribution of surface runoff.,kept,
27,surface_runoff_differences_2016.png,DA_Differences,difference,Surface runoff response to assimilation — 2016,Impact of SMAP assimilation on surface runoff.,kept,
28,surface_runoff_domain_mean_timeseries_2016.png,OPL_noCDF_CDF,timeseries,Domain-average surface runoff time series — 2016,Daily domain-averaged timeseries of surface runoff.,kept,
29,baseflow_annual_mean_2016.png,OPL_noCDF_CDF,annual_mean,"Annual mean baseflow — NorthMor, 2016",Annual mean spatial distribution of baseflow.,kept,
30,baseflow_differences_2016.png,DA_Differences,difference,Baseflow response to assimilation — 2016,Impact of SMAP assimilation on baseflow.,kept,
31,baseflow_domain_mean_timeseries_2016.png,OPL_noCDF_CDF,timeseries,Domain-average baseflow time series — 2016,Daily domain-averaged timeseries of baseflow.,kept,
