type,path,expected_size,actual_size,expected_hash,actual_hash,status
METRICS,runoff_partitioning/runoff_partitioning_2016.json,372,372,0dc7678006bcd1737c2cfb1a81a424338029fdb0bde4dc0e5ac7a5ccaf0d1b8e,0dc7678006bcd1737c2cfb1a81a424338029fdb0bde4dc0e5ac7a5ccaf0d1b8e,PASSED
IMAGE,runoff_partitioning/runoff_partitioning_2016.png,61327,61327,a186bbc5b9e750989c6efaf8f7f7d803564091c9527b8da34374e867cde982fd,a186bbc5b9e750989c6efaf8f7f7d803564091c9527b8da34374e867cde982fd,PASSED
IMAGE,assimilation/DA_smap_nocdf_noirr_2016/DA_smap_nocdf_noirr_2016_increment_map.png,285805,285805,a0c17a8cc07bca42c6ce5388a93bfc7517e9dce4ddb6415ef3373e76c0ea1946,a0c17a8cc07bca42c6ce5388a93bfc7517e9dce4ddb6415ef3373e76c0ea1946,PASSED
IMAGE,assimilation/DA_smap_nocdf_noirr_2016/DA_smap_nocdf_noirr_2016_increment_histogram.png,123206,123206,74a4e25278cc5aa4c50d5d54409a53e8d83bf7a2cdc6716134ed9bc6840ce6ed,74a4e25278cc5aa4c50d5d54409a53e8d83bf7a2cdc6716134ed9bc6840ce6ed,PASSED
IMAGE,assimilation/DA_smap_nocdf_noirr_2016/Fig04c_soil_moisture_increment_distribution_DA-noCDF-noIRR_2016.png,144463,144463,5d643227dc91fd895c41106fdafdb10c103965a50a354fbae152408236e2030b,5d643227dc91fd895c41106fdafdb10c103965a50a354fbae152408236e2030b,PASSED
IMAGE,assimilation/DA_smap_nocdf_noirr_2016/Fig04a_mean_innovation_observation_space_DA-noCDF-noIRR_2016.png,298449,298449,e58123f2adbbe82f52dce5c0a804e88f578ccd3bad4a61c5e4a296dbef725dd9,e58123f2adbbe82f52dce5c0a804e88f578ccd3bad4a61c5e4a296dbef725dd9,PASSED
METRICS,assimilation/DA_smap_nocdf_noirr_2016/DA_smap_nocdf_noirr_2016_increment_histogram.json,466,466,75c4f48b395e66e11ae6f307a10532aba1ddef1b39828cd79c19e5b44a12e46c,75c4f48b395e66e11ae6f307a10532aba1ddef1b39828cd79c19e5b44a12e46c,PASSED
IMAGE,assimilation/DA_smap_nocdf_noirr_2016/Fig02_smap_assimilation_frequency_DA-noCDF-noIRR_2016.png,317540,317540,fdb0786c52fe4b0944eb7bd5c749cf7834b60da7995d2917787d66309609eecc,fdb0786c52fe4b0944eb7bd5c749cf7834b60da7995d2917787d66309609eecc,PASSED
IMAGE,assimilation/DA_smap_nocdf_noirr_2016/DA_smap_nocdf_noirr_2016_obs_count.png,280454,280454,73c6582326f318a2bf355944c2bc65e86d3195caab926bde4ea42f3164bd7689,73c6582326f318a2bf355944c2bc65e86d3195caab926bde4ea42f3164bd7689,PASSED
IMAGE,assimilation/DA_smap_nocdf_noirr_2016/Fig01_smap_assimilated_observation_count_DA-noCDF-noIRR_2016.png,298123,298123,f2b85eeb6209879bd5f76158313625a4395391e75df0807df4c37f036f8ab301,f2b85eeb6209879bd5f76158313625a4395391e75df0807df4c37f036f8ab301,PASSED
