experiment,variable,valid_values_ts0,missing_values_ts0
OPL_noirr_2016,lat,121,0
OPL_noirr_2016,lon,181,0
OPL_noirr_2016,Swnet_tavg,16030,5871
OPL_noirr_2016,Lwnet_tavg,16030,5871
OPL_noirr_2016,Qle_tavg,16030,5871
OPL_noirr_2016,Qh_tavg,16030,5871
OPL_noirr_2016,Qg_tavg,16030,5871
OPL_noirr_2016,Snowf_tavg,16030,5871
OPL_noirr_2016,Rainf_tavg,16030,5871
OPL_noirr_2016,Evap_tavg,16030,5871
OPL_noirr_2016,Qs_tavg,16030,5871
OPL_noirr_2016,Qsb_tavg,16030,5871
OPL_noirr_2016,Qsm_tavg,16030,5871
OPL_noirr_2016,VegT_tavg,16030,5871
OPL_noirr_2016,BareSoilT_tavg,16030,5871
OPL_noirr_2016,AvgSurfT_tavg,16030,5871
OPL_noirr_2016,RadT_tavg,16030,5871
OPL_noirr_2016,SWE_tavg,16030,5871
OPL_noirr_2016,SnowDepth_tavg,16030,5871
OPL_noirr_2016,SoilMoist_tavg,64120,23484
OPL_noirr_2016,SoilTemp_tavg,64120,23484
OPL_noirr_2016,PotEvap_tavg,16030,5871
OPL_noirr_2016,ECanop_tavg,16030,5871
OPL_noirr_2016,TVeg_tavg,16030,5871
OPL_noirr_2016,ESoil_tavg,16030,5871
OPL_noirr_2016,CanopInt_tavg,16030,5871
OPL_noirr_2016,SubSnow_tavg,16030,5871
OPL_noirr_2016,WaterTableD_tavg,16030,5871
OPL_noirr_2016,TWS_tavg,16030,5871
OPL_noirr_2016,GWS_tavg,16030,5871
OPL_noirr_2016,Snowcover_tavg,16030,5871
OPL_noirr_2016,GPP_tavg,16030,5871
OPL_noirr_2016,NPP_tavg,16030,5871
OPL_noirr_2016,Wind_f_tavg,16030,5871
OPL_noirr_2016,Rainf_f_tavg,16030,5871
OPL_noirr_2016,Tair_f_tavg,16030,5871
OPL_noirr_2016,Qair_f_tavg,16030,5871
OPL_noirr_2016,Psurf_f_tavg,16030,5871
OPL_noirr_2016,SWdown_f_tavg,16030,5871
OPL_noirr_2016,LWdown_f_tavg,16030,5871
OPL_noirr_2016,LAI_tavg,16030,5871
OPL_noirr_2016,SAI_tavg,16030,5871
OPL_noirr_2016,Greenness_tavg,16030,5871
OPL_noirr_2016,TotalPrecip_tavg,16030,5871
OPL_noirr_2016,WT_tavg,16030,5871
OPL_noirr_2016,LeafMass_tavg,16030,5871
OPL_noirr_2016,RootMass_tavg,16030,5871
OPL_noirr_2016,StemMass_tavg,16030,5871
DA_nocdf_noirr_2016,lat,121,0
DA_nocdf_noirr_2016,lon,181,0
DA_nocdf_noirr_2016,Swnet_tavg,16030,5871
DA_nocdf_noirr_2016,Lwnet_tavg,16030,5871
DA_nocdf_noirr_2016,Qle_tavg,16030,5871
DA_nocdf_noirr_2016,Qh_tavg,16030,5871
DA_nocdf_noirr_2016,Qg_tavg,16030,5871
DA_nocdf_noirr_2016,Snowf_tavg,16030,5871
DA_nocdf_noirr_2016,Rainf_tavg,16030,5871
DA_nocdf_noirr_2016,Evap_tavg,16030,5871
DA_nocdf_noirr_2016,Qs_tavg,16030,5871
DA_nocdf_noirr_2016,Qsb_tavg,16030,5871
DA_nocdf_noirr_2016,Qsm_tavg,16030,5871
DA_nocdf_noirr_2016,VegT_tavg,16030,5871
DA_nocdf_noirr_2016,BareSoilT_tavg,16030,5871
DA_nocdf_noirr_2016,AvgSurfT_tavg,16030,5871
DA_nocdf_noirr_2016,RadT_tavg,16030,5871
DA_nocdf_noirr_2016,SWE_tavg,16030,5871
DA_nocdf_noirr_2016,SnowDepth_tavg,16030,5871
DA_nocdf_noirr_2016,SoilMoist_tavg,64120,23484
DA_nocdf_noirr_2016,SoilTemp_tavg,64120,23484
DA_nocdf_noirr_2016,PotEvap_tavg,16030,5871
DA_nocdf_noirr_2016,ECanop_tavg,16030,5871
DA_nocdf_noirr_2016,TVeg_tavg,16030,5871
DA_nocdf_noirr_2016,ESoil_tavg,16030,5871
DA_nocdf_noirr_2016,CanopInt_tavg,16030,5871
DA_nocdf_noirr_2016,SubSnow_tavg,16030,5871
DA_nocdf_noirr_2016,WaterTableD_tavg,16030,5871
DA_nocdf_noirr_2016,TWS_tavg,16030,5871
DA_nocdf_noirr_2016,GWS_tavg,16030,5871
DA_nocdf_noirr_2016,Snowcover_tavg,16030,5871
DA_nocdf_noirr_2016,GPP_tavg,16030,5871
DA_nocdf_noirr_2016,NPP_tavg,16030,5871
DA_nocdf_noirr_2016,Wind_f_tavg,16030,5871
DA_nocdf_noirr_2016,Rainf_f_tavg,16030,5871
DA_nocdf_noirr_2016,Tair_f_tavg,16030,5871
DA_nocdf_noirr_2016,Qair_f_tavg,16030,5871
DA_nocdf_noirr_2016,Psurf_f_tavg,16030,5871
DA_nocdf_noirr_2016,SWdown_f_tavg,16030,5871
DA_nocdf_noirr_2016,LWdown_f_tavg,16030,5871
DA_nocdf_noirr_2016,LAI_tavg,16030,5871
DA_nocdf_noirr_2016,SAI_tavg,16030,5871
DA_nocdf_noirr_2016,Greenness_tavg,16030,5871
DA_nocdf_noirr_2016,TotalPrecip_tavg,16030,5871
DA_nocdf_noirr_2016,WT_tavg,16030,5871
DA_nocdf_noirr_2016,LeafMass_tavg,16030,5871
DA_nocdf_noirr_2016,RootMass_tavg,16030,5871
DA_nocdf_noirr_2016,StemMass_tavg,16030,5871
DA_cdf_noirr_2016,lat,121,0
DA_cdf_noirr_2016,lon,181,0
DA_cdf_noirr_2016,Swnet_tavg,16030,5871
DA_cdf_noirr_2016,Lwnet_tavg,16030,5871
DA_cdf_noirr_2016,Qle_tavg,16030,5871
DA_cdf_noirr_2016,Qh_tavg,16030,5871
DA_cdf_noirr_2016,Qg_tavg,16030,5871
DA_cdf_noirr_2016,Snowf_tavg,16030,5871
DA_cdf_noirr_2016,Rainf_tavg,16030,5871
DA_cdf_noirr_2016,Evap_tavg,16030,5871
DA_cdf_noirr_2016,Qs_tavg,16030,5871
DA_cdf_noirr_2016,Qsb_tavg,16030,5871
DA_cdf_noirr_2016,Qsm_tavg,16030,5871
DA_cdf_noirr_2016,VegT_tavg,16030,5871
DA_cdf_noirr_2016,BareSoilT_tavg,16030,5871
DA_cdf_noirr_2016,AvgSurfT_tavg,16030,5871
DA_cdf_noirr_2016,RadT_tavg,16030,5871
DA_cdf_noirr_2016,SWE_tavg,16030,5871
DA_cdf_noirr_2016,SnowDepth_tavg,16030,5871
DA_cdf_noirr_2016,SoilMoist_tavg,64120,23484
DA_cdf_noirr_2016,SoilTemp_tavg,64120,23484
DA_cdf_noirr_2016,PotEvap_tavg,16030,5871
DA_cdf_noirr_2016,ECanop_tavg,16030,5871
DA_cdf_noirr_2016,TVeg_tavg,16030,5871
DA_cdf_noirr_2016,ESoil_tavg,16030,5871
DA_cdf_noirr_2016,CanopInt_tavg,16030,5871
DA_cdf_noirr_2016,SubSnow_tavg,16030,5871
