experiment,variable,dtype
OPL_noirr_2016,lat,float32
OPL_noirr_2016,lon,float32
OPL_noirr_2016,Swnet_tavg,float32
OPL_noirr_2016,Lwnet_tavg,float32
OPL_noirr_2016,Qle_tavg,float32
OPL_noirr_2016,Qh_tavg,float32
OPL_noirr_2016,Qg_tavg,float32
OPL_noirr_2016,Snowf_tavg,float32
OPL_noirr_2016,Rainf_tavg,float32
OPL_noirr_2016,Evap_tavg,float32
OPL_noirr_2016,Qs_tavg,float32
OPL_noirr_2016,Qsb_tavg,float32
OPL_noirr_2016,Qsm_tavg,float32
OPL_noirr_2016,VegT_tavg,float32
OPL_noirr_2016,BareSoilT_tavg,float32
OPL_noirr_2016,AvgSurfT_tavg,float32
OPL_noirr_2016,RadT_tavg,float32
OPL_noirr_2016,SWE_tavg,float32
OPL_noirr_2016,SnowDepth_tavg,float32
OPL_noirr_2016,SoilMoist_tavg,float32
OPL_noirr_2016,SoilTemp_tavg,float32
OPL_noirr_2016,PotEvap_tavg,float32
OPL_noirr_2016,ECanop_tavg,float32
OPL_noirr_2016,TVeg_tavg,float32
OPL_noirr_2016,ESoil_tavg,float32
OPL_noirr_2016,CanopInt_tavg,float32
OPL_noirr_2016,SubSnow_tavg,float32
OPL_noirr_2016,WaterTableD_tavg,float32
OPL_noirr_2016,TWS_tavg,float32
OPL_noirr_2016,GWS_tavg,float32
OPL_noirr_2016,Snowcover_tavg,float32
OPL_noirr_2016,GPP_tavg,float32
OPL_noirr_2016,NPP_tavg,float32
OPL_noirr_2016,Wind_f_tavg,float32
OPL_noirr_2016,Rainf_f_tavg,float32
OPL_noirr_2016,Tair_f_tavg,float32
OPL_noirr_2016,Qair_f_tavg,float32
OPL_noirr_2016,Psurf_f_tavg,float32
OPL_noirr_2016,SWdown_f_tavg,float32
OPL_noirr_2016,LWdown_f_tavg,float32
OPL_noirr_2016,LAI_tavg,float32
OPL_noirr_2016,SAI_tavg,float32
OPL_noirr_2016,Greenness_tavg,float32
OPL_noirr_2016,TotalPrecip_tavg,float32
OPL_noirr_2016,WT_tavg,float32
OPL_noirr_2016,LeafMass_tavg,float32
OPL_noirr_2016,RootMass_tavg,float32
OPL_noirr_2016,StemMass_tavg,float32
DA_nocdf_noirr_2016,lat,float32
DA_nocdf_noirr_2016,lon,float32
DA_nocdf_noirr_2016,Swnet_tavg,float32
DA_nocdf_noirr_2016,Lwnet_tavg,float32
DA_nocdf_noirr_2016,Qle_tavg,float32
DA_nocdf_noirr_2016,Qh_tavg,float32
DA_nocdf_noirr_2016,Qg_tavg,float32
DA_nocdf_noirr_2016,Snowf_tavg,float32
DA_nocdf_noirr_2016,Rainf_tavg,float32
DA_nocdf_noirr_2016,Evap_tavg,float32
DA_nocdf_noirr_2016,Qs_tavg,float32
DA_nocdf_noirr_2016,Qsb_tavg,float32
DA_nocdf_noirr_2016,Qsm_tavg,float32
DA_nocdf_noirr_2016,VegT_tavg,float32
DA_nocdf_noirr_2016,BareSoilT_tavg,float32
DA_nocdf_noirr_2016,AvgSurfT_tavg,float32
DA_nocdf_noirr_2016,RadT_tavg,float32
DA_nocdf_noirr_2016,SWE_tavg,float32
DA_nocdf_noirr_2016,SnowDepth_tavg,float32
DA_nocdf_noirr_2016,SoilMoist_tavg,float32
DA_nocdf_noirr_2016,SoilTemp_tavg,float32
