Variable,Experiment,Pearson_R,Anomaly_R,Bias,RMSE,ubRMSE,NSE,KGE
SM_0-5cm,OL,0.636,0.544,8.429,1.283,8.272,0.583,0.449
SM_0-5cm,SSM-DA,0.65,0.643,8.323,0.49,7.5,0.627,0.503
SM_0-5cm,DA_Gain,0.014,0.099,0.106,0.793,0.772,0.044,0.054
ET,OL,0.764,0.498,9.766,5.72,1.843,0.707,0.406
ET,SSM-DA,0.824,0.534,8.931,4.875,1.544,0.775,0.425
ET,DA_Gain,0.06,0.036,0.835,0.845,0.299,0.068,0.019
T,OL,0.506,0.348,2.296,2.91,5.29,0.339,0.418
T,SSM-DA,0.517,0.439,1.699,2.659,4.354,0.398,0.432
T,DA_Gain,0.011,0.091,0.597,0.251,0.936,0.059,0.014
E,OL,0.562,0.62,8.206,8.514,3.274,0.784,0.533
E,SSM-DA,0.596,0.679,7.766,8.231,2.35,0.879,0.618
E,DA_Gain,0.034,0.059,0.44,0.283,0.924,0.095,0.085
GPP,OL,0.516,0.658,8.662,1.711,4.69,0.621,0.788
GPP,SSM-DA,0.589,0.725,8.377,1.347,4.446,0.658,0.863
GPP,DA_Gain,0.073,0.067,0.285,0.364,0.244,0.037,0.075
NPP,OL,0.779,0.308,3.813,1.44,8.873,0.647,0.713
NPP,SSM-DA,0.872,0.332,3.29,0.848,8.308,0.722,0.797
NPP,DA_Gain,0.093,0.024,0.523,0.592,0.565,0.075,0.084
LAI,OL,0.418,0.353,6.525,3.193,8.443,0.533,0.646
LAI,SSM-DA,0.46,0.372,6.156,2.946,8.133,0.592,0.688
LAI,DA_Gain,0.042,0.019,0.369,0.247,0.31,0.059,0.042
